x,u
0.000000,0.000001
0.100000,0.000002
0.200000,0.000004
0.300000,0.000007
0.400000,0.000012
0.500000,0.000020
0.600000,0.000033
0.700000,0.000055
0.800000,0.000090
0.900000,0.000145
1.000000,0.000231
1.100000,0.000364
1.200000,0.000566
1.300000,0.000870
1.400000,0.001320
1.500000,0.001977
1.600000,0.002923
1.700000,0.004267
1.800000,0.006148
1.900000,0.008742
2.000000,0.012268
2.100000,0.016989
2.200000,0.023213
2.300000,0.031293
2.400000,0.041617
2.500000,0.054596
2.600000,0.070645
2.700000,0.090155
2.800000,0.113461
2.900000,0.140801
3.000000,0.172278
3.100000,0.207813
3.200000,0.247110
3.300000,0.289628
3.400000,0.334563
3.500000,0.380852
3.600000,0.427198
3.700000,0.472118
3.800000,0.514011
3.900000,0.551249
4.000000,0.582272
4.100000,0.605702
4.200000,0.620434
4.300000,0.625727
4.400000,0.621264
4.500000,0.607178
4.600000,0.584052
4.700000,0.552878
4.800000,0.514985
4.900000,0.471945
5.000000,0.425466
5.100000,0.377274
5.200000,0.329010
5.300000,0.282140
5.400000,0.237883
5.500000,0.197173
5.600000,0.160639
5.700000,0.128622
5.800000,0.101200
5.900000,0.078231
6.000000,0.059408
6.100000,0.044312
6.200000,0.032459
6.300000,0.023346
6.400000,0.016486
6.500000,0.011427
6.600000,0.007774
6.700000,0.005189
6.800000,0.003399
6.900000,0.002184
7.000000,0.001376
7.100000,0.000850
7.200000,0.000515
7.300000,0.000306
7.400000,0.000178
7.500000,0.000102
7.600000,0.000057
7.700000,0.000031
7.800000,0.000017
7.900000,0.000009
8.000000,0.000005
8.100000,0.000002
8.200000,0.000001
8.300000,0.000001
8.400000,0.000000
8.500000,0.000000
8.600000,0.000000
8.700000,0.000000
8.800000,0.000000
8.900000,0.000000
9.000000,0.000000
9.100000,0.000000
9.200000,0.000000
9.300000,0.000000
9.400000,0.000000
9.500000,0.000000
9.600000,0.000000
9.700000,0.000000
9.800000,0.000000
0.000000,0.000001
