x,u
0.000000,0.000034
0.100000,0.000018
0.200000,0.000010
0.300000,0.000005
0.400000,0.000003
0.500000,0.000001
0.600000,0.000001
0.700000,0.000000
0.800000,0.000000
0.900000,0.000000
1.000000,0.000000
1.100000,0.000000
1.200000,0.000000
1.300000,0.000000
1.400000,0.000000
1.500000,0.000000
1.600000,0.000000
1.700000,0.000000
1.800000,0.000000
1.900000,0.000000
2.000000,0.000000
2.100000,0.000001
2.200000,0.000001
2.300000,0.000002
2.400000,0.000004
2.500000,0.000007
2.600000,0.000013
2.700000,0.000021
2.800000,0.000035
2.900000,0.000057
3.000000,0.000093
3.100000,0.000149
3.200000,0.000235
3.300000,0.000367
3.400000,0.000566
3.500000,0.000863
3.600000,0.001300
3.700000,0.001934
3.800000,0.002841
3.900000,0.004122
4.000000,0.005905
4.100000,0.008354
4.200000,0.011668
4.300000,0.016089
4.400000,0.021902
4.500000,0.029428
4.600000,0.039027
4.700000,0.051080
4.800000,0.065974
4.900000,0.084081
5.000000,0.105728
5.100000,0.131162
5.200000,0.160512
5.300000,0.193753
5.400000,0.230671
5.500000,0.270830
5.600000,0.313559
5.700000,0.357944
5.800000,0.402848
5.900000,0.446946
6.000000,0.488775
6.100000,0.526816
6.200000,0.559575
6.300000,0.585680
6.400000,0.603972
6.500000,0.613594
6.600000,0.614048
6.700000,0.605247
6.800000,0.587517
6.900000,0.561585
7.000000,0.528525
7.100000,0.489688
7.200000,0.446604
7.300000,0.400886
7.400000,0.354129
7.500000,0.307813
7.600000,0.263234
7.700000,0.221447
7.800000,0.183237
7.900000,0.149112
8.000000,0.119319
8.100000,0.093873
8.200000,0.072602
8.300000,0.055192
8.400000,0.041233
8.500000,0.030270
8.600000,0.021832
8.700000,0.015468
8.800000,0.010764
8.900000,0.007356
9.000000,0.004936
9.100000,0.003251
9.200000,0.002102
9.300000,0.001334
9.400000,0.000831
9.500000,0.000507
9.600000,0.000304
9.700000,0.000179
9.800000,0.000103
0.000000,0.000058
