x,u
0.000000,0.000000
0.100000,0.000000
0.200000,0.000000
0.300000,0.000000
0.400000,0.000000
0.500000,0.000000
0.600000,0.000000
0.700000,0.000000
0.800000,0.000000
0.900000,0.000000
1.000000,0.000000
1.100000,0.000000
1.200000,0.000000
1.300000,0.000000
1.400000,0.000001
1.500000,0.000002
1.600000,0.000005
1.700000,0.000012
1.800000,0.000025
1.900000,0.000051
2.000000,0.000103
2.100000,0.000201
2.200000,0.000385
2.300000,0.000719
2.400000,0.001308
2.500000,0.002320
2.600000,0.004013
2.700000,0.006766
2.800000,0.011116
2.900000,0.017797
3.000000,0.027759
3.100000,0.042174
3.200000,0.062405
3.300000,0.089916
3.400000,0.126132
3.500000,0.172232
3.600000,0.228886
3.700000,0.295983
3.800000,0.372375
3.900000,0.455703
4.000000,0.542364
4.100000,0.627667
4.200000,0.706183
4.300000,0.772281
4.400000,0.820773
4.500000,0.847578
4.600000,0.850285
4.700000,0.828509
4.800000,0.783963
4.900000,0.720243
5.000000,0.642342
5.100000,0.556001
5.200000,0.467010
5.300000,0.380571
5.400000,0.300832
5.500000,0.230626
5.600000,0.171439
5.700000,0.123551
5.800000,0.086306
5.900000,0.058426
6.000000,0.038324
6.100000,0.024353
6.200000,0.014989
6.300000,0.008934
6.400000,0.005156
6.500000,0.002881
6.600000,0.001558
6.700000,0.000815
6.800000,0.000413
6.900000,0.000202
7.000000,0.000096
7.100000,0.000044
7.200000,0.000019
7.300000,0.000008
7.400000,0.000003
7.500000,0.000001
7.600000,0.000001
7.700000,0.000000
7.800000,0.000000
7.900000,0.000000
8.000000,0.000000
8.100000,0.000000
8.200000,0.000000
8.300000,0.000000
8.400000,0.000000
8.500000,0.000000
8.600000,0.000000
8.700000,0.000000
8.800000,0.000000
8.900000,0.000000
9.000000,0.000000
9.100000,0.000000
9.200000,0.000000
9.300000,0.000000
9.400000,0.000000
9.500000,0.000000
9.600000,0.000000
9.700000,0.000000
9.800000,0.000000
0.000000,0.000000
