x,u
0.000000,0.453905
0.100000,0.401908
0.200000,0.349511
0.300000,0.298470
0.400000,0.250256
0.500000,0.205988
0.600000,0.166421
0.700000,0.131952
0.800000,0.102659
0.900000,0.078357
1.000000,0.058667
1.100000,0.043079
1.200000,0.031019
1.300000,0.021898
1.400000,0.015154
1.500000,0.010278
1.600000,0.006831
1.700000,0.004448
1.800000,0.002837
1.900000,0.001772
2.000000,0.001084
2.100000,0.000649
2.200000,0.000381
2.300000,0.000218
2.400000,0.000123
2.500000,0.000067
2.600000,0.000036
2.700000,0.000019
2.800000,0.000010
2.900000,0.000005
3.000000,0.000002
3.100000,0.000001
3.200000,0.000001
3.300000,0.000000
3.400000,0.000000
3.500000,0.000000
3.600000,0.000000
3.700000,0.000000
3.800000,0.000000
3.900000,0.000000
4.000000,0.000000
4.100000,0.000000
4.200000,0.000000
4.300000,0.000000
4.400000,0.000000
4.500000,0.000000
4.600000,0.000000
4.700000,0.000000
4.800000,0.000000
4.900000,0.000000
5.000000,0.000000
5.100000,0.000001
5.200000,0.000001
5.300000,0.000002
5.400000,0.000004
5.500000,0.000007
5.600000,0.000013
5.700000,0.000022
5.800000,0.000037
5.900000,0.000063
6.000000,0.000105
6.100000,0.000172
6.200000,0.000279
6.300000,0.000446
6.400000,0.000704
6.500000,0.001094
6.600000,0.001679
6.700000,0.002539
6.800000,0.003787
6.900000,0.005569
7.000000,0.008074
7.100000,0.011541
7.200000,0.016260
7.300000,0.022578
7.400000,0.030898
7.500000,0.041667
7.600000,0.055365
7.700000,0.072479
7.800000,0.093470
7.900000,0.118733
8.000000,0.148547
8.100000,0.183022
8.200000,0.222045
8.300000,0.265232
8.400000,0.311897
8.500000,0.361031
8.600000,0.411316
8.700000,0.461162
8.800000,0.508775
8.900000,0.552252
9.000000,0.589707
9.100000,0.619394
9.200000,0.639844
9.300000,0.649982
9.400000,0.649219
9.500000,0.637510
9.600000,0.615359
9.700000,0.583791
9.800000,0.544269
0.000000,0.498581
