x,u
0.000000,0.000203
0.100000,0.000337
0.200000,0.000551
0.300000,0.000889
0.400000,0.001410
0.500000,0.002203
0.600000,0.003389
0.700000,0.005130
0.800000,0.007644
0.900000,0.011208
1.000000,0.016170
1.100000,0.022952
1.200000,0.032050
1.300000,0.044022
1.400000,0.059468
1.500000,0.079001
1.600000,0.103194
1.700000,0.132526
1.800000,0.167307
1.900000,0.207606
2.000000,0.253176
2.100000,0.303393
2.200000,0.357215
2.300000,0.413177
2.400000,0.469426
2.500000,0.523795
2.600000,0.573929
2.700000,0.617440
2.800000,0.652092
2.900000,0.675986
3.000000,0.687726
3.100000,0.686559
3.200000,0.672447
3.300000,0.646084
3.400000,0.608839
3.500000,0.562640
3.600000,0.509804
3.700000,0.452845
3.800000,0.394274
3.900000,0.336416
4.000000,0.281262
4.100000,0.230372
4.200000,0.184822
4.300000,0.145215
4.400000,0.111718
4.500000,0.084142
4.600000,0.062030
4.700000,0.044752
4.800000,0.031591
4.900000,0.021816
5.000000,0.014735
5.100000,0.009733
5.200000,0.006285
5.300000,0.003968
5.400000,0.002448
5.500000,0.001476
5.600000,0.000869
5.700000,0.000500
5.800000,0.000281
5.900000,0.000154
6.000000,0.000082
6.100000,0.000043
6.200000,0.000022
6.300000,0.000011
6.400000,0.000005
6.500000,0.000003
6.600000,0.000001
6.700000,0.000001
6.800000,0.000000
6.900000,0.000000
7.000000,0.000000
7.100000,0.000000
7.200000,0.000000
7.300000,0.000000
7.400000,0.000000
7.500000,0.000000
7.600000,0.000000
7.700000,0.000000
7.800000,0.000000
7.900000,0.000000
8.000000,0.000000
8.100000,0.000000
8.200000,0.000000
8.300000,0.000000
8.400000,0.000000
8.500000,0.000000
8.600000,0.000000
8.700000,0.000000
8.800000,0.000000
8.900000,0.000000
9.000000,0.000001
9.100000,0.000001
9.200000,0.000002
9.300000,0.000004
9.400000,0.000008
9.500000,0.000014
9.600000,0.000025
9.700000,0.000043
9.800000,0.000075
0.000000,0.000128
