x,u
0.000000,0.208260
0.100000,0.277722
0.200000,0.359027
0.300000,0.449867
0.400000,0.546275
0.500000,0.642745
0.600000,0.732648
0.700000,0.808929
0.800000,0.864995
0.900000,0.895642
1.000000,0.897848
1.100000,0.871263
1.200000,0.818285
1.300000,0.743702
1.400000,0.653979
1.500000,0.556328
1.600000,0.457755
1.700000,0.364252
1.800000,0.280267
1.900000,0.208486
2.000000,0.149916
2.100000,0.104190
2.200000,0.069975
2.300000,0.045409
2.400000,0.028467
2.500000,0.017239
2.600000,0.010082
2.700000,0.005694
2.800000,0.003105
2.900000,0.001635
3.000000,0.000831
3.100000,0.000407
3.200000,0.000193
3.300000,0.000088
3.400000,0.000039
3.500000,0.000017
3.600000,0.000007
3.700000,0.000003
3.800000,0.000001
3.900000,0.000000
4.000000,0.000000
4.100000,0.000000
4.200000,0.000000
4.300000,0.000000
4.400000,0.000000
4.500000,0.000000
4.600000,0.000000
4.700000,0.000000
4.800000,0.000000
4.900000,0.000000
5.000000,0.000000
5.100000,0.000000
5.200000,0.000000
5.300000,0.000000
5.400000,0.000000
5.500000,0.000000
5.600000,0.000000
5.700000,0.000000
5.800000,0.000000
5.900000,0.000000
6.000000,0.000000
6.100000,0.000000
6.200000,0.000000
6.300000,0.000000
6.400000,0.000000
6.500000,0.000000
6.600000,0.000000
6.700000,0.000000
6.800000,0.000000
6.900000,0.000000
7.000000,0.000000
7.100000,0.000000
7.200000,0.000000
7.300000,0.000000
7.400000,0.000000
7.500000,0.000000
7.600000,0.000000
7.700000,0.000000
7.800000,0.000000
7.900000,0.000001
8.000000,0.000001
8.100000,0.000003
8.200000,0.000008
8.300000,0.000018
8.400000,0.000039
8.500000,0.000083
8.600000,0.000171
8.700000,0.000345
8.800000,0.000676
8.900000,0.001285
9.000000,0.002375
9.100000,0.004262
9.200000,0.007427
9.300000,0.012565
9.400000,0.020636
9.500000,0.032895
9.600000,0.050888
9.700000,0.076383
9.800000,0.111228
0.000000,0.157104
