x,u
0.000000,0.000000
0.100000,0.000000
0.200000,0.000000
0.300000,0.000000
0.400000,0.000000
0.500000,0.000000
0.600000,0.000000
0.700000,0.000000
0.800000,0.000000
0.900000,0.000001
1.000000,0.000001
1.100000,0.000003
1.200000,0.000007
1.300000,0.000015
1.400000,0.000031
1.500000,0.000064
1.600000,0.000129
1.700000,0.000251
1.800000,0.000480
1.900000,0.000891
2.000000,0.001615
2.100000,0.002853
2.200000,0.004908
2.300000,0.008229
2.400000,0.013438
2.500000,0.021372
2.600000,0.033100
2.700000,0.049911
2.800000,0.073262
2.900000,0.104663
3.000000,0.145503
3.100000,0.196805
3.200000,0.258946
3.300000,0.331370
3.400000,0.412356
3.500000,0.498894
3.600000,0.586735
3.700000,0.670648
3.800000,0.744881
3.900000,0.803784
4.000000,0.842505
4.100000,0.857643
4.200000,0.847737
4.300000,0.813496
4.400000,0.757722
4.500000,0.684926
4.600000,0.600726
4.700000,0.511125
4.800000,0.421810
4.900000,0.337570
5.000000,0.261933
5.100000,0.197022
5.200000,0.143634
5.300000,0.101471
5.400000,0.069452
5.500000,0.046048
5.600000,0.029569
5.700000,0.018387
5.800000,0.011069
5.900000,0.006451
6.000000,0.003638
6.100000,0.001986
6.200000,0.001048
6.300000,0.000536
6.400000,0.000265
6.500000,0.000126
6.600000,0.000058
6.700000,0.000026
6.800000,0.000011
6.900000,0.000005
7.000000,0.000002
7.100000,0.000001
7.200000,0.000000
7.300000,0.000000
7.400000,0.000000
7.500000,0.000000
7.600000,0.000000
7.700000,0.000000
7.800000,0.000000
7.900000,0.000000
8.000000,0.000000
8.100000,0.000000
8.200000,0.000000
8.300000,0.000000
8.400000,0.000000
8.500000,0.000000
8.600000,0.000000
8.700000,0.000000
8.800000,0.000000
8.900000,0.000000
9.000000,0.000000
9.100000,0.000000
9.200000,0.000000
9.300000,0.000000
9.400000,0.000000
9.500000,0.000000
9.600000,0.000000
9.700000,0.000000
9.800000,0.000000
0.000000,0.000000
