x,u
0.000000,0.628090
0.100000,0.602262
0.200000,0.567620
0.300000,0.525751
0.400000,0.478508
0.500000,0.427884
0.600000,0.375859
0.700000,0.324284
0.800000,0.274765
0.900000,0.228596
1.000000,0.186715
1.100000,0.149703
1.200000,0.117801
1.300000,0.090964
1.400000,0.068916
1.500000,0.051220
1.600000,0.037337
1.700000,0.026691
1.800000,0.018708
1.900000,0.012855
2.000000,0.008658
2.100000,0.005714
2.200000,0.003695
2.300000,0.002341
2.400000,0.001453
2.500000,0.000883
2.600000,0.000525
2.700000,0.000306
2.800000,0.000174
2.900000,0.000097
3.000000,0.000053
3.100000,0.000028
3.200000,0.000015
3.300000,0.000008
3.400000,0.000004
3.500000,0.000002
3.600000,0.000001
3.700000,0.000000
3.800000,0.000000
3.900000,0.000000
4.000000,0.000000
4.100000,0.000000
4.200000,0.000000
4.300000,0.000000
4.400000,0.000000
4.500000,0.000000
4.600000,0.000000
4.700000,0.000000
4.800000,0.000000
4.900000,0.000000
5.000000,0.000000
5.100000,0.000000
5.200000,0.000000
5.300000,0.000000
5.400000,0.000000
5.500000,0.000001
5.600000,0.000001
5.700000,0.000002
5.800000,0.000003
5.900000,0.000006
6.000000,0.000010
6.100000,0.000018
6.200000,0.000031
6.300000,0.000052
6.400000,0.000087
6.500000,0.000143
6.600000,0.000232
6.700000,0.000372
6.800000,0.000589
6.900000,0.000919
7.000000,0.001415
7.100000,0.002149
7.200000,0.003218
7.300000,0.004753
7.400000,0.006921
7.500000,0.009936
7.600000,0.014064
7.700000,0.019624
7.800000,0.026988
7.900000,0.036581
8.000000,0.048863
8.100000,0.064314
8.200000,0.083404
8.300000,0.106558
8.400000,0.134105
8.500000,0.166235
8.600000,0.202943
8.700000,0.243976
8.800000,0.288798
8.900000,0.336563
9.000000,0.386112
9.100000,0.435997
9.200000,0.484536
9.300000,0.529894
9.400000,0.570188
9.500000,0.603616
9.600000,0.628582
9.700000,0.643822
9.800000,0.648511
0.000000,0.642331
