x,u
0.000000,0.000001
0.100000,0.000002
0.200000,0.000005
0.300000,0.000008
0.400000,0.000015
0.500000,0.000027
0.600000,0.000047
0.700000,0.000081
0.800000,0.000137
0.900000,0.000230
1.000000,0.000379
1.100000,0.000615
1.200000,0.000983
1.300000,0.001548
1.400000,0.002401
1.500000,0.003666
1.600000,0.005513
1.700000,0.008160
1.800000,0.011889
1.900000,0.017050
2.000000,0.024062
2.100000,0.033416
2.200000,0.045658
2.300000,0.061374
2.400000,0.081152
2.500000,0.105538
2.600000,0.134979
2.700000,0.169752
2.800000,0.209894
2.900000,0.255133
3.000000,0.304832
3.100000,0.357949
3.200000,0.413043
3.300000,0.468297
3.400000,0.521606
3.500000,0.570688
3.600000,0.613236
3.700000,0.647097
3.800000,0.670442
3.900000,0.681929
4.000000,0.680831
4.100000,0.667109
4.200000,0.641426
4.300000,0.605092
4.400000,0.559955
4.500000,0.508246
4.600000,0.452391
4.700000,0.394824
4.800000,0.337810
4.900000,0.283300
5.000000,0.232839
5.100000,0.187509
5.200000,0.147937
5.300000,0.114324
5.400000,0.086524
5.500000,0.064119
5.600000,0.046518
5.700000,0.033033
5.800000,0.022956
5.900000,0.015609
6.000000,0.010383
6.100000,0.006755
6.200000,0.004298
6.300000,0.002674
6.400000,0.001626
6.500000,0.000966
6.600000,0.000561
6.700000,0.000318
6.800000,0.000176
6.900000,0.000095
7.000000,0.000050
7.100000,0.000026
7.200000,0.000013
7.300000,0.000006
7.400000,0.000003
7.500000,0.000001
7.600000,0.000001
7.700000,0.000000
7.800000,0.000000
7.900000,0.000000
8.000000,0.000000
8.100000,0.000000
8.200000,0.000000
8.300000,0.000000
8.400000,0.000000
8.500000,0.000000
8.600000,0.000000
8.700000,0.000000
8.800000,0.000000
8.900000,0.000000
9.000000,0.000000
9.100000,0.000000
9.200000,0.000000
9.300000,0.000000
9.400000,0.000000
9.500000,0.000000
9.600000,0.000000
9.700000,0.000000
9.800000,0.000000
0.000000,0.000001
