x,u
0.000000,0.003600
0.100000,0.002345
0.200000,0.001499
0.300000,0.000941
0.400000,0.000580
0.500000,0.000350
0.600000,0.000208
0.700000,0.000121
0.800000,0.000069
0.900000,0.000038
1.000000,0.000021
1.100000,0.000011
1.200000,0.000006
1.300000,0.000003
1.400000,0.000002
1.500000,0.000001
1.600000,0.000000
1.700000,0.000000
1.800000,0.000000
1.900000,0.000000
2.000000,0.000000
2.100000,0.000000
2.200000,0.000000
2.300000,0.000000
2.400000,0.000000
2.500000,0.000000
2.600000,0.000000
2.700000,0.000000
2.800000,0.000000
2.900000,0.000001
3.000000,0.000001
3.100000,0.000002
3.200000,0.000003
3.300000,0.000005
3.400000,0.000009
3.500000,0.000014
3.600000,0.000024
3.700000,0.000039
3.800000,0.000064
3.900000,0.000103
4.000000,0.000164
4.100000,0.000258
4.200000,0.000401
4.300000,0.000615
4.400000,0.000933
4.500000,0.001398
4.600000,0.002069
4.700000,0.003025
4.800000,0.004368
4.900000,0.006229
5.000000,0.008773
5.100000,0.012201
5.200000,0.016755
5.300000,0.022716
5.400000,0.030406
5.500000,0.040177
5.600000,0.052402
5.700000,0.067457
5.800000,0.085701
5.900000,0.107445
6.000000,0.132917
6.100000,0.162232
6.200000,0.195350
6.300000,0.232044
6.400000,0.271872
6.500000,0.314164
6.600000,0.358016
6.700000,0.402309
6.800000,0.445743
6.900000,0.486894
7.000000,0.524279
7.100000,0.556448
7.200000,0.582069
7.300000,0.600019
7.400000,0.609467
7.500000,0.609931
7.600000,0.601323
7.700000,0.583960
7.800000,0.558543
7.900000,0.526111
8.000000,0.487970
8.100000,0.445607
8.200000,0.400592
8.300000,0.354478
8.400000,0.308715
8.500000,0.264579
8.600000,0.223112
8.700000,0.185100
8.800000,0.151059
8.900000,0.121252
9.000000,0.095712
9.100000,0.074290
9.200000,0.056690
9.300000,0.042525
9.400000,0.031353
9.500000,0.022717
9.600000,0.016173
9.700000,0.011312
9.800000,0.007772
0.000000,0.005244
