x,u
0.000000,0.000950
0.100000,0.001444
0.200000,0.002167
0.300000,0.003210
0.400000,0.004691
0.500000,0.006764
0.600000,0.009625
0.700000,0.013510
0.800000,0.018708
0.900000,0.025553
1.000000,0.034424
1.100000,0.045735
1.200000,0.059919
1.300000,0.077404
1.400000,0.098584
1.500000,0.123780
1.600000,0.153197
1.700000,0.186879
1.800000,0.224668
1.900000,0.266162
2.000000,0.310689
2.100000,0.357303
2.200000,0.404792
2.300000,0.451712
2.400000,0.496453
2.500000,0.537320
2.600000,0.572631
2.700000,0.600834
2.800000,0.620611
2.900000,0.630984
3.000000,0.631391
3.100000,0.621735
3.200000,0.602401
3.300000,0.574227
3.400000,0.538448
3.500000,0.496604
3.600000,0.450426
3.700000,0.401724
3.800000,0.352259
3.900000,0.303647
4.000000,0.257268
4.100000,0.214216
4.200000,0.175269
4.300000,0.140890
4.400000,0.111254
4.500000,0.086288
4.600000,0.065722
4.700000,0.049151
4.800000,0.036087
4.900000,0.026008
5.000000,0.018395
5.100000,0.012767
5.200000,0.008694
5.300000,0.005807
5.400000,0.003804
5.500000,0.002444
5.600000,0.001540
5.700000,0.000951
5.800000,0.000575
5.900000,0.000341
6.000000,0.000198
6.100000,0.000113
6.200000,0.000063
6.300000,0.000034
6.400000,0.000018
6.500000,0.000010
6.600000,0.000005
6.700000,0.000002
6.800000,0.000001
6.900000,0.000001
7.000000,0.000000
7.100000,0.000000
7.200000,0.000000
7.300000,0.000000
7.400000,0.000000
7.500000,0.000000
7.600000,0.000000
7.700000,0.000000
7.800000,0.000000
7.900000,0.000000
8.000000,0.000000
8.100000,0.000000
8.200000,0.000000
8.300000,0.000000
8.400000,0.000000
8.500000,0.000000
8.600000,0.000001
8.700000,0.000001
8.800000,0.000002
8.900000,0.000004
9.000000,0.000008
9.100000,0.000013
9.200000,0.000022
9.300000,0.000038
9.400000,0.000062
9.500000,0.000102
9.600000,0.000166
9.700000,0.000265
9.800000,0.000417
0.000000,0.000650
