x,u
0.000000,0.000001
0.100000,0.000002
0.200000,0.000004
0.300000,0.000008
0.400000,0.000016
0.500000,0.000031
0.600000,0.000057
0.700000,0.000105
0.800000,0.000189
0.900000,0.000333
1.000000,0.000577
1.100000,0.000981
1.200000,0.001635
1.300000,0.002675
1.400000,0.004292
1.500000,0.006751
1.600000,0.010413
1.700000,0.015744
1.800000,0.023334
1.900000,0.033891
2.000000,0.048235
2.100000,0.067260
2.200000,0.091873
2.300000,0.122915
2.400000,0.161040
2.500000,0.206589
2.600000,0.259451
2.700000,0.318940
2.800000,0.383703
2.900000,0.451694
3.000000,0.520215
3.100000,0.586053
3.200000,0.645702
3.300000,0.695655
3.400000,0.732732
3.500000,0.754414
3.600000,0.759117
3.700000,0.746388
3.800000,0.716964
3.900000,0.672708
4.000000,0.616413
4.100000,0.551507
4.200000,0.481705
4.300000,0.410658
4.400000,0.341635
4.500000,0.277297
4.600000,0.219554
4.700000,0.169538
4.800000,0.127654
4.900000,0.093704
5.000000,0.067042
5.100000,0.046743
5.200000,0.031752
5.300000,0.021010
5.400000,0.013540
5.500000,0.008496
5.600000,0.005190
5.700000,0.003085
5.800000,0.001785
5.900000,0.001005
6.000000,0.000550
6.100000,0.000293
6.200000,0.000152
6.300000,0.000076
6.400000,0.000037
6.500000,0.000018
6.600000,0.000008
6.700000,0.000004
6.800000,0.000002
6.900000,0.000001
7.000000,0.000000
7.100000,0.000000
7.200000,0.000000
7.300000,0.000000
7.400000,0.000000
7.500000,0.000000
7.600000,0.000000
7.700000,0.000000
7.800000,0.000000
7.900000,0.000000
8.000000,0.000000
8.100000,0.000000
8.200000,0.000000
8.300000,0.000000
8.400000,0.000000
8.500000,0.000000
8.600000,0.000000
8.700000,0.000000
8.800000,0.000000
8.900000,0.000000
9.000000,0.000000
9.100000,0.000000
9.200000,0.000000
9.300000,0.000000
9.400000,0.000000
9.500000,0.000000
9.600000,0.000000
9.700000,0.000000
9.800000,0.000000
0.000000,0.000001
